Host,IP,IPv4,TLS,HTTP/2,Messages Send,1xx,2xx,3xx,4xx,5xx,9xx,Avg Response Time,StdD Response Time,Avg Deviation Count,StdD Deviation Count,Avg Request Length,StdD Request Length,Avg URI Length,StdD URI Length,Avg Response Header Keys,StdD Response Header Keys,Avg Response Body Length,StdD Response Body Length
google.com,142.250.181.206,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,1.7234327793121338,0.0,0.0,0.0,313.0,0.0,0.0,0.0,4.0,0.0,1560.0,0.0
facebook.com,157.240.210.35,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.44570183753967285,0.0,0.0,0.0,315.0,0.0,0.0,0.0,4.0,0.0,2959.0,0.0
microsoft.com,20.70.246.20,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.33762073516845703,0.0,0.0,0.0,316.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
googleapis.com,142.250.181.196,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.23635149002075195,0.0,0.0,0.0,317.0,0.0,0.0,0.0,4.0,0.0,1560.0,0.0
youtube.com,142.251.209.142,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.30445051193237305,0.0,0.0,0.0,314.0,0.0,0.0,0.0,4.0,0.0,1560.0,0.0
apple.com,17.253.144.10,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.7152256965637207,0.0,0.0,0.0,312.0,0.0,0.0,0.0,8.0,0.0,219.0,0.0
www.google.com,142.251.209.132,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,1.475459098815918,0.0,0.0,0.0,317.0,0.0,0.0,0.0,4.0,0.0,1560.0,0.0
twitter.com,104.244.42.129,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.6895902156829834,0.0,0.0,0.0,314.0,0.0,0.0,0.0,6.0,0.0,11.0,0.0
instagram.com,157.240.210.174,True,False,False,1,0.0,0.0,0.0,100.0,0.0,0.0,0.03573036193847656,0.0,0.0,0.0,316.0,0.0,0.0,0.0,4.0,0.0,105.0,0.0
netflix.com,18.200.8.190,True,False,False,1,0.0,0.0,0.0,0.0,0.0,100.0,0.09525084495544434,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
