Host,IP,IPv4,TLS,HTTP/2,Messages Send,1xx,2xx,3xx,4xx,5xx,9xx,Avg Response Time,StdD Response Time,Avg Deviation Count,StdD Deviation Count,Avg Request Length,StdD Request Length,Avg URI Length,StdD URI Length,Avg Response Header Keys,StdD Response Header Keys,Avg Response Body Length,StdD Response Body Length
google.com,142.250.181.206,True,False,False,20,0.0,0.0,75.0,25.0,0.0,0.0,0.1524328351020813,0.09284920752709636,1.0,0.0,318.5,2.9916550603303182,9.5,2.9916550603303182,8.9,2.913760456866693,559.5,579.384285254614
facebook.com,157.240.210.35,True,False,False,20,0.0,0.0,90.0,5.0,0.0,5.0,0.11191622018814087,0.08216946850708468,1.0,0.0,320.5,2.9916550603303182,9.5,2.9916550603303182,5.6,1.3564659966250545,147.95,644.8990986968425
microsoft.com,20.236.44.162,True,False,False,20,0.0,0.0,85.0,5.0,0.0,10.0,0.5023290872573852,0.6361438025920224,1.0,0.0,321.5,2.9916550603303182,9.5,2.9916550603303182,4.45,1.499166435056495,0.0,0.0
