Host,IP,IPv4,TLS,HTTP/2,Messages Send,1xx,2xx,3xx,4xx,5xx,9xx,Avg Response Time,StdD Response Time,Avg Deviation Count,StdD Deviation Count,Avg Request Length,StdD Request Length,Avg URI Length,StdD URI Length,Avg Response Header Keys,StdD Response Header Keys,Avg Response Body Length,StdD Response Body Length
google.com,142.251.209.142,True,False,False,10,0.0,0.0,80.0,20.0,0.0,0.0,0.17296254634857178,0.159555629656909,0.9,0.30000000000000004,315.4,4.176122603564219,6.4,4.17612260356422,9.6,2.90516780926679,492.9,535.0643793040235
facebook.com,157.240.210.35,True,False,False,10,0.0,0.0,90.0,10.0,0.0,0.0,0.14143595695495606,0.15626920745377362,0.9,0.30000000000000004,317.4,4.176122603564219,6.4,4.17612260356422,5.8,0.6,295.9,887.6999999999998
microsoft.com,20.70.246.20,True,False,False,10,0.0,0.0,90.0,10.0,0.0,0.0,0.4352907657623291,0.2020415663549382,0.9,0.30000000000000004,318.4,4.176122603564219,6.4,4.17612260356422,4.9,0.3,0.0,0.0
