Rank,Domain,Socket Info 80,Socket Info 443,Socket Info WWW 80,Socket Info WWW 443,"HTTP (TCP, Port 80) leads to 3xx redirect","HTTP (TCP, Port 80, www) leads to 3xx redirect","HTTPS absolute URI, no or given subdomain, Statuscode","HTTPS absolute URI, no or given subdomain, new Location","HTTPS absolute URI, www or given subdomain, Statuscode","HTTPS absolute URI, www or given subdomain, new Location","HTTPS absolute URI, www or given subdomain, host incl subdomain","HTTPS absolute URI, www or given subdomain, host incl subdomain, new Location",Try new Location absolute,"HTTPS relative URI, no or standard subdomain, host excl subdomain, statuscode","HTTPS relative URI, no or standard subdomain, host excl subdomain, new Location","HTTPS relative URI, www or standard subdomain, host incl subdomain, statuscode","HTTPS relative URI, www or standard subdomain, host incl subdomain, new Location",Try new Location relative,use_www
1,google.com,"[[2, 1, 6, """", [""142.250.181.206"", 80]]]","[[2, 1, 6, """", [""142.250.181.206"", 443]]]","[[2, 1, 6, """", [""142.251.209.132"", 80]]]","[[2, 1, 6, """", [""142.251.209.132"", 443]]]",302,302,301,https://www.google.com/,200,,200,,"""""",301,https://www.google.com/,200,,"""\""\""""",
2,facebook.com,"[[2, 1, 6, """", [""157.240.210.35"", 80]]]","[[2, 1, 6, """", [""157.240.210.35"", 443]]]","[[2, 1, 6, """", [""157.240.210.35"", 80]]]","[[2, 1, 6, """", [""157.240.210.35"", 443]]]",301,301,301,https://www.facebook.com/?absolute_url_processed=1,200,,200,,"""""",301,https://www.facebook.com/,200,,"""\""\""""",
3,microsoft.com,"[[2, 1, 6, """", [""20.76.201.171"", 80]], [2, 1, 6, """", [""20.231.239.246"", 80]], [2, 1, 6, """", [""20.236.44.162"", 80]], [2, 1, 6, """", [""20.70.246.20"", 80]], [2, 1, 6, """", [""20.112.250.133"", 80]]]","[[2, 1, 6, """", [""20.76.201.171"", 443]], [2, 1, 6, """", [""20.231.239.246"", 443]], [2, 1, 6, """", [""20.236.44.162"", 443]], [2, 1, 6, """", [""20.70.246.20"", 443]], [2, 1, 6, """", [""20.112.250.133"", 443]]]","[[2, 1, 6, """", [""2.23.181.156"", 80]]]","[[2, 1, 6, """", [""2.23.181.156"", 443]]]",404,302,301,https://www.microsoft.com/,400,,302,https://www.microsoft.com/de-de/,"[200, null]",400,,302,https://www.microsoft.com/de-de/,"""[200, null]""",
4,googleapis.com,"[[2, 1, 6, """", [""142.250.181.196"", 80]]]","[[2, 1, 6, """", [""142.250.181.196"", 443]]]","[[2, 1, 6, """", [""142.251.209.138"", 80]], [2, 1, 6, """", [""142.250.181.202"", 80]], [2, 1, 6, """", [""172.217.19.74"", 80]]]","[[2, 1, 6, """", [""142.251.209.138"", 443]], [2, 1, 6, """", [""142.250.181.202"", 443]], [2, 1, 6, """", [""172.217.19.74"", 443]]]",404,404,404,,404,,404,,"""""",404,,404,,"""\""\""""",
5,youtube.com,"[[2, 1, 6, """", [""142.251.209.142"", 80]]]","[[2, 1, 6, """", [""142.251.209.142"", 443]]]","[[2, 1, 6, """", [""142.250.181.206"", 80]], [2, 1, 6, """", [""142.251.209.142"", 80]]]","[[2, 1, 6, """", [""142.250.181.206"", 443]], [2, 1, 6, """", [""142.251.209.142"", 443]]]",301,301,301,https://www.youtube.com/,200,,200,,"""""",301,https://www.youtube.com/,200,,"""\""\""""",
6,apple.com,"[[2, 1, 6, """", [""17.253.144.10"", 80]]]","[[2, 1, 6, """", [""17.253.144.10"", 443]]]","[[2, 1, 6, """", [""2.16.252.237"", 80]]]","[[2, 1, 6, """", [""2.16.252.237"", 443]]]",404,301,301,https://www.apple.com/,400,,200,,"""""",999,,200,,"""\""\""""",
7,www.google.com,"[[2, 1, 6, """", [""142.251.209.132"", 80]]]","[[2, 1, 6, """", [""142.251.209.132"", 443]]]","[[2, 1, 6, """", [""142.251.209.132"", 80]]]","[[2, 1, 6, """", [""142.251.209.132"", 443]]]",302,302,301,https://www.google.com/,200,,200,,"""""",200,,200,,"""\""\""""",
8,twitter.com,"[[2, 1, 6, """", [""104.244.42.129"", 80]]]","[[2, 1, 6, """", [""104.244.42.129"", 443]]]","[[2, 1, 6, """", [""104.244.42.129"", 80]]]","[[2, 1, 6, """", [""104.244.42.129"", 443]]]",301,301,302,/,301,https://twitter.com/,301,https://twitter.com/,"[302, ""/""]",302,/,301,https://twitter.com/,"""[302, \""/\""]""",
9,instagram.com,"[[2, 1, 6, """", [""157.240.210.174"", 80]]]","[[2, 1, 6, """", [""157.240.210.174"", 443]]]","[[2, 1, 6, """", [""157.240.210.174"", 80]]]","[[2, 1, 6, """", [""157.240.210.174"", 443]]]",301,301,302,,200,,200,,"""""",301,https://www.instagram.com/,200,,"""\""\""""",
